"SourceFile","ID","CreateDate","Duration","Latitude","Longitude","LatitudeDD","LongitudeDD","sDuration","Year","Month","Day","Hour"
"meta-uEhpLEAXkTi7.json",NA,"2021:01:06 20:38:55","0:00:31","38 deg 53' 31.56"" N","77 deg 2' 13.56"" W",38.8921,-77.0371,31,2021,1,6,20
"meta-uF2EKNOE0jpP.json",NA,"2021:01:06 21:33:04","26.93 s","38 deg 53' 24.36"" N","77 deg 0' 36.00"" W",38.8901,-77.01,26.93,2021,1,6,21
"meta-Ufqzju5HCfKn.json",NA,"2021:01:06 22:18:08","0:00:33","38 deg 53' 23.64"" N","77 deg 0' 37.44"" W",38.8899,-77.0104,33,2021,1,6,22
"meta-UGVm0XVdzGh7.json",NA,"2021:01:06 19:29:52","24.00 s","38 deg 53' 25.44"" N","77 deg 0' 39.60"" W",38.8904,-77.011,24,2021,1,6,19
"meta-uGXQHSVMBFup.json",NA,"2021:01:06 16:58:53","0:00:42","38 deg 53' 28.68"" N","77 deg 2' 9.60"" W",38.8913,-77.036,42,2021,1,6,16
"meta-UI36bW4vP0E0.json",NA,"2021:01:06 19:28:31","18.01 s","38 deg 53' 22.92"" N","77 deg 0' 37.08"" W",38.8897,-77.0103,18.01,2021,1,6,19
"meta-UiC5TplHHHMG.json",NA,"2021:01:06 19:19:28","20.96 s","38 deg 53' 25.44"" N","77 deg 0' 38.88"" W",38.8904,-77.0108,20.96,2021,1,6,19
"meta-uIFh3PBrRXfe.json",NA,"2021:01:06 16:04:40","17.03 s","38 deg 53' 29.76"" N","77 deg 2' 11.76"" W",38.8916,-77.0366,17.03,2021,1,6,16
"meta-UIqcvJE6vzT5.json",NA,"2021:01:06 20:10:22","25.39 s","38 deg 53' 23.64"" N","77 deg 0' 37.08"" W",38.8899,-77.0103,25.39,2021,1,6,20
"meta-UIQNpWMQtfbc.json",NA,"2021:01:06 19:01:37","24.30 s","38 deg 53' 24.72"" N","77 deg 0' 38.16"" W",38.8902,-77.0106,24.3,2021,1,6,19
